"Transaction Id";"Type";"Started";"Last updated";"Status";"Unit Type";"Quantity";"Transferring Account";"Acquiring Account";"Comment";
"EU670546";"10-00 Internal Transfer";"26/08/2021 15:02:02";"26/08/2021 15:04:44";"4-COMPLETED";"EU General Allowance (EUA)";;"17000";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
"EU669626";"10-00 Internal Transfer";"18/08/2021 12:27:05";"18/08/2021 12:29:47";"4-COMPLETED";"EU General Allowance (EUA)";;"17169";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
"EU669187";"10-00 Internal Transfer";"12/08/2021 15:40:51";"16/08/2021 12:07:29";"4-COMPLETED";"EU General Allowance (EUA)";;"10832";"EU-100-5026365-0-33";"EU-100-5027708-0-11";" ";
"EU668984";"10-00 Internal Transfer";"10/08/2021 13:23:05";"12/08/2021 12:03:29";"4-COMPLETED";"EU General Allowance (EUA)";;"5165";"EU-100-5026365-0-33";"EU-100-5027708-0-11";" ";
"EU669094";"10-00 Internal Transfer";"11/08/2021 12:26:35";"11/08/2021 12:29:15";"4-COMPLETED";"EU General Allowance (EUA)";;"17000";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
"EU668730";"10-00 Internal Transfer";"06/08/2021 15:21:19";"06/08/2021 15:24:00";"4-COMPLETED";"EU General Allowance (EUA)";;"29173";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
"EU668554";"10-00 Internal Transfer";"04/08/2021 16:07:01";"06/08/2021 12:06:39";"4-COMPLETED";"EU General Allowance (EUA)";;"5165";"EU-100-5026365-0-33";"EU-100-5027708-0-11";" ";
"EU668618";"10-00 Internal Transfer";"05/08/2021 14:48:15";"05/08/2021 14:48:33";"4-COMPLETED";"EU General Allowance (EUA)";;"5377";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
"EU668504";"10-00 Internal Transfer";"04/08/2021 12:33:46";"04/08/2021 12:36:28";"4-COMPLETED";"EU General Allowance (EUA)";;"15000";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
"EU667190";"10-00 Internal Transfer";"02/08/2021 14:50:11";"02/08/2021 14:52:51";"4-COMPLETED";"EU General Allowance (EUA)";;"13158";"EU-100-5028006-0-73";"EU-100-5027708-0-11";" ";
